index	race	incar
11269	White	NA
13375	White	NA
20599	White	NA
4153	White	NA
1508	White	NA
1107	White	1
15939	White	NA
20886	White	NA
1063	White	NA
8548	White	1
11623	White	1
17964	White	NA
7262	White	NA
19166	White	NA
11773	White	NA
22552	White	NA
4770	White	1
10981	White	1
12041	White	1
14446	White	NA
4125	White	1
20059	White	NA
2647	White	NA
18184	White	1
2702	White	NA
20015	White	1
5592	White	NA
22362	White	1
6440	White	NA
2865	White	1
20221	White	1
3945	White	NA
6088	White	NA
1896	White	1
19263	White	NA
19854	White	1
4033	White	NA
13994	White	NA
1573	White	NA
5411	White	1
22499	White	1
14102	White	NA
15906	White	NA
17568	White	NA
9252	White	1
21004	White	NA
311	White	NA
20391	White	NA
1542	White	1
5435	White	NA
12993	White	1
5449	White	NA
14099	White	1
10216	White	NA
3873	White	1
16421	White	NA
11665	White	NA
4193	White	1
7501	White	NA
15375	White	NA
13878	White	NA
7410	White	1
11730	White	NA
7799	White	NA
8742	White	NA
6223	White	NA
942	White	NA
20728	White	NA
21517	White	NA
18800	White	1
3135	White	NA
6170	White	NA
20654	White	1
4511	White	NA
10654	White	NA
16852	White	1
12237	White	1
7416	White	NA
3775	White	NA
14575	White	1
11362	White	1
21766	White	NA
3324	White	NA
14358	White	1
7563	White	1
20095	White	1
13500	White	NA
17241	White	1
2576	White	NA
28201	Black	1
30476	Black	NA
26704	Black	1
34921	Black	1
32999	Black	1
25833	Black	1
24342	Black	1
28717	Black	1
27383	Black	NA
32693	Black	1
31027	Black	1
29123	Black	NA
33575	Black	1
24918	Black	NA
31486	Black	NA
32889	Black	NA
32175	Black	1
34198	Black	NA
27267	Black	NA
25804	Black	NA
32096	Black	NA
33619	Black	1
31816	Black	NA
33233	Black	NA
29214	Black	NA
28166	Black	NA
32097	Black	1
23590	Black	1
31802	Black	NA
31511	Black	1
31484	Black	NA
31551	Black	1
23978	Black	1
25929	Black	NA
34933	Black	1
31123	Black	1
29698	Black	NA
30140	Black	1
24336	Black	NA
28095	Black	1
33505	Black	NA
24196	Black	1
27129	Black	NA
24948	Black	NA
25005	Black	1
24125	Black	NA
25026	Black	NA
28938	Black	NA
27580	Black	NA
28131	Black	1
23055	Black	1
31239	Black	1
26965	Black	NA
28648	Black	NA
23809	Black	NA
24755	Black	1
28802	Black	1
32315	Black	1
23219	Black	1
33951	Black	NA
31483	Black	1
30747	Black	NA
30601	Black	1
33809	Black	NA
33894	Black	NA
30695	Black	1
29559	Black	1
29917	Black	1
32317	Black	NA
33239	Black	NA
26735	Black	NA
28136	Black	NA
29319	Black	1
26789	Black	NA
25650	Black	1
25100	Black	1
28791	Black	1
26443	Black	1
27790	Black	1
34107	Black	NA
33972	Black	NA
35211	Black	1
27829	Black	NA
26211	Black	1
33535	Black	1
34082	Black	1
24565	Black	NA
24129	Black	NA
33681	Black	NA
35216	Black	NA
28743	Black	1
30433	Black	1
28278	Black	NA
33832	Black	1
25260	Black	1
33450	Black	NA
25858	Black	NA
24920	Black	NA
23544	Black	1
31614	Black	1
33630	Black	1
26575	Black	1
29113	Black	1
27468	Black	NA
32470	Black	1
27376	Black	1
34289	Black	NA
30689	Black	1
